ID	LON	LAT
AHT15	85.7447	48.3777
AHT20	85.7479	48.3795
ALE027	121.4191	51.2818
ALS046	121.4212	50.9
ALY036	121.7336	51.5469
BEJ3	86.9159	47.7249
BJC007	122.3499	53.4901
BMX54	100.8116	32.8011
BX54	102.7403	30.8295
CGZ003	124.617	51.9907
DCX5	100.1922	28.6167
DFX11	100.9644	31.1147
DQS13	111.8089	41.0516
DTX94	101.5427	37.186
EDG18	126.4611	41.7171
EDG27	126.4618	41.717
FHSJ1	127.9786	44.2193
FYX7	89.843	47.2135
HBH12	86.342	48.0726
HBH2	86.3415	48.0727
HGS18	130.2832	47.1663
HLS53	129.0528	42.4833
HNX7	130.886	46.3334
HR6	125.1582	41.2565
HTY15	126.3612	41.8068
HX1	105.9652	34.0296
JD24	101.4489	29.2119
JS39	99.8034	27.4391
JXS19	130.9656	45.3755
JY23	130.4574	48.6551
JYX28	126.7209	42.292
KCL2	125.0931	41.0696
KNS12	87.014	48.6767
KNS4	87.0135	48.6787
LBX31	130.8627	47.7191
LJP1	100.2572	27.1222
LLZ018	126.5507	41.8415
LM049	123.1261	52.8803
LMS033	122.2915	48.3454
LS33	111.9603	36.8358
LXJ13	102.821	31.6495
LYC11	110.4852	34.4317
MDJ15	130.1711	44.5341
MDJ2	130.1708	44.5343
MG089	122.5113	52.4248
MH024	122.2587	53.3786
MNS1	86.0682	43.8274
MQX50	100.6272	34.6597
MSZ1	130.759	47.9875
PQG49	111.4306	37.89
QHX14	90.3548	46.6841
QSLC51	129.8668	48.5909
RTX16	101.0815	32.5793
SDX29	100.9266	31.9529
SLS16	102.3128	30.9248
SWP3	111.9715	35.4288
TZZ103	102.6141	36.9395
WCS21	127.3484	44.6561
WCS6	127.3468	44.6563
WEG19	129.516	43.6511
WEG26	129.516	43.6511
WLG024	124.4441	52.6535
WT42	113.8389	38.831
WTG28	126.0903	41.9269
WY29	129.5483	43.0257
WYQ5	129.2231	48.0796
XEXL17	82.0478	45.2187
XEXL2	82.0454	45.2199
XFL14	128.7583	42.5305
XFL2	128.7587	42.5303
XGLLP21	99.7441	27.8293
XGLLP7	99.7441	27.8293
XHC004	124.5655	49.9104
XHS10	127.0478	42.8874
XMX5	101.9801	37.2623
XXG025	122.6181	47.8172
XYQ060	124.3103	50.7067
YCS25	128.5499	47.6333
YJA54	101.2854	30.0472
YKS014	120.9051	49.1213
YLK048	121.6293	48.8535
ZJ027	122.5723	52.9555
ZSL004	124.6643	49.2359
